genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
,35902694,snv,,1,1:155070410," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""HapMap""         ""KOREAN""         ""NorthernSweden""
 [9] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",D,,NC_000001.11
"[1] ""GBAP1""
",2049805,snv,intron_variant,1,1:155225189," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000001.11
"[1] ""DCST1""     ""DCST1-AS1""
",11264300,snv,"missense_variant,coding_sequence_variant,intron_variant",1,1:155047234," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""ExAC""           ""FINRISK""        ""GENOME_DK""      ""GnomAD""        
 [9] ""GnomAD_exomes""  ""GoESP""          ""GoNL""           ""HGDP_Stanford"" 
[13] ""HapMap""         ""KOREAN""         ""Korea1K""        ""MGP""           
[17] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""    
[21] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[25] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",M,,NC_000001.11
,7365544,snv,,1,1:155096272," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",H,,NC_000001.11
"[1] ""GBAP1""
",28445596,snv,non_coding_transcript_variant,1,1:155216938,"[1] ""1000Genomes"" ""GnomAD""      ""TOMMO""       ""TOPMED""      ""ALFA""       
",Y,,NC_000001.11
"[1] ""KCNN3""
",1218566,snv,intron_variant,1,1:154845097," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",H,,NC_000001.11
"[1] ""RIT1""
",670523,snv,intron_variant,1,1:155908941," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",D,,NC_000001.11
"[1] ""MUC1""
",4072037,snv,"synonymous_variant,intron_variant,coding_sequence_variant",1,1:155192276," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD_exomes""  ""GoESP""         
 [9] ""HGDP_Stanford""  ""HapMap""         ""KOREAN""         ""Korea1K""       
[13] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[17] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[21] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,benign,NC_000001.11
,7367207,snv,,1,1:155107001," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000001.11
"[1] ""KCNN3""
",11264275,snv,intron_variant,1,1:154852794," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000001.11
"[1] ""DCST2"" ""DCST1""
",4845404,snv,"2KB_upstream_variant,upstream_transcript_variant,intron_variant",1,1:155034817," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",N,,NC_000001.11
,2338971,snv,,1,1:101414449," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",N,,NC_000001.11
"[1] ""LOC124900602""
",356220,snv,"genic_downstream_transcript_variant,intron_variant",4,4:89720189," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""ALFA""          
",N,,NC_000004.12
"[1] ""HLA-DRA""
",3129882,snv,intron_variant,6,6:32441753," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",V,,NC_000006.12
"[1] ""WNT3""     ""LRRC37A2""
",199498,snv,"intron_variant,genic_downstream_transcript_variant",17,17:46788237," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000017.11
"[1] ""LHFPL2""
",344650,snv,intron_variant,5,5:78564785," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""SGDP_PRJ""       ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",R,,NC_000005.10
"[1] ""TRPS1""
",74335301,snv,intron_variant,8,8:115626410," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000008.11
"[1] ""KLHDC1""
",79503702,snv,intron_variant,14,14:49739452," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""TOPMED""        
 [9] ""TWINSUK""        ""ALFA""          
",V,,NC_000014.9
"[1] ""TPM1""
",117267308,snv,intron_variant,15,15:63054177," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",W,,NC_000015.10
"[1] ""TMEM175""
",6599388,snv,"intron_variant,genic_upstream_transcript_variant",4,4:945299," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""ALFA""          
",Y,,NC_000004.12
"[1] ""BST1""
",11724635,snv,"intron_variant,genic_downstream_transcript_variant",4,4:15735478," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000004.12
"[1] ""LRRK2""
",1491942,snv,"genic_upstream_transcript_variant,intron_variant",12,12:40227006," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",S,,NC_000012.12
"[1] ""RAB25""
",34372695,snv,"2KB_upstream_variant,upstream_transcript_variant",1,1:156060246," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GoNL""           ""HapMap""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""PRJEB36033""     ""SGDP_PRJ""       ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",B,,NC_000001.11
,6710823,snv,,2,2:134834811,"[1] ""GnomAD""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[5] ""Qatari""         ""SGDP_PRJ""       ""TOMMO""          ""ALFA""          
",V,,NC_000002.12
"[1] ""MCCC1""
",11711441,snv,"intron_variant,genic_upstream_transcript_variant",3,3:183103487," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000003.12
"[1] ""LOC124900602""
",356219,snv,"genic_downstream_transcript_variant,intron_variant",4,4:89716450," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",R,,NC_000004.12
"[1] ""LOC107985959""
",2102808,snv,intron_variant,2,2:168260515," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""MGP""            ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",K,,NC_000002.12
"[1] ""CCDC62""
",12817488,snv,intron_variant,12,12:122811747," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",D,,NC_000012.12
"[1] ""LINC02210""       ""LINC02210-CRHR1""
",2942168,snv,"non_coding_transcript_variant,intron_variant",17,17:45637484," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TWINSUK""       
[17] ""ALFA""          
",N,,NC_000017.11
"[1] ""SPPL2C""   ""MAPT-AS1""
",12185268,snv,"coding_sequence_variant,missense_variant,intron_variant",17,17:45846317," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GnomAD""         ""GnomAD_exomes""  ""GoESP""         
 [9] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
[13] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[17] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[21] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",D,,NC_000017.11
"[1] ""MCCC1""
",10513789,snv,intron_variant,3,3:183042285," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",B,,NC_000003.12
"[1] ""TMEM175""
",6599389,snv,"intron_variant,genic_upstream_transcript_variant",4,4:945325," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GoNL""          
 [5] ""HGDP_Stanford""  ""HapMap""         ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",D,,NC_000004.12
"[1] ""SREBF1"" ""RAI1""  
",11868035,snv,"3_prime_UTR_variant,downstream_transcript_variant,intron_variant,500B_downstream_variant,genic_downstream_transcript_variant",17,17:17811787," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""GENOGRAPHIC""    ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
[13] ""Korea1K""        ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""    
[17] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[21] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[25] ""Vietnamese""     ""ALFA""          
",R,,NC_000017.11
"[1] ""LRRK2""
",34637584,snv,"genic_downstream_transcript_variant,coding_sequence_variant,missense_variant,non_coding_transcript_variant",12,12:40340400,"[1] ""1000Genomes""   ""ExAC""          ""GnomAD""        ""GnomAD_exomes""
[5] ""PAGE_STUDY""    ""PRJEB36033""    ""TOPMED""        ""ALFA""         
",R,"pathogenic-likely-pathogenic,pathogenic,risk-factor",NC_000012.12
"[1] ""SLC41A1""
",823156,snv,intron_variant,1,1:205795512," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
[13] ""KOREAN""         ""Korea1K""        ""MGP""            ""NorthernSweden""
[17] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[21] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[25] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,benign,NC_000001.11
"[1] ""LOC105369302""
",2823357,snv,"genic_downstream_transcript_variant,intron_variant",21,21:15542586," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOGRAPHIC""   
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",R,,NC_000021.9
"[1] ""GAK""
",11248051,snv,intron_variant,4,4:864544," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000004.12
"[1] ""NSF""      ""LRRC37A2""
",199533,snv,"non_coding_transcript_variant,genic_downstream_transcript_variant,synonymous_variant,coding_sequence_variant,intron_variant",17,17:46751565," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""ExAC""           ""FINRISK""        ""GENOME_DK""      ""GnomAD""        
 [9] ""GnomAD_exomes""  ""GoESP""          ""GoNL""           ""HGDP_Stanford"" 
[13] ""HapMap""         ""KOREAN""         ""MGP""            ""NorthernSweden""
[17] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[21] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[25] ""TWINSUK""        ""ALFA""          
",R,,NC_000017.11
,1480597,snv,,10,10:44665661," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""ALFA""          
",Y,,NC_000010.11
"[1] ""STAP1""
",2242330,snv,intron_variant,4,4:67581531," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",V,benign,NC_000004.12
"[1] ""DLG2""
",10501570,snv,"genic_upstream_transcript_variant,intron_variant",11,11:84706803," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""     ""Qatari""        
[17] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[21] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000011.10
