MAPPED_GENE,SNP ID,DISEASE/TRAIT,CHR_ID,P-VALUE,INITIAL SAMPLE SIZE
TRPS1,rs74335301,"Parkinson's disease (familial, age at onset)",8,3e-06,431 European ancestry cases
TSBP1-AS1 - HLA-DRA,rs2395163,Parkinson's disease,6,3e-11,"4,238 European ancestry cases, 4,239 European ancestry controls"
TXNP1 - INPP5F,rs2178923,Parkinson's disease,10,2e-13,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
UBAP2,rs6476434,Parkinson's disease or first degree relation to individual with Parkinson's disease,9,7e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
UBAP2,rs6476434,Parkinson's disease,9,1e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
UBBP4,rs139221627,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,17,1e-07,"172 Korean ancestry cases, 569 Korean ancestry controls"
UBTF,rs2269906,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,6e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
UNC13B,rs10121009,Parkinson's disease,9,3e-06,"268 Ashkenazi Jewish cases, 178 Ashkenazi Jewish controls"
"USP8, USP50",rs28648524,Parkinson's disease,15,3e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
VAMP4,rs10903,Parkinson's disease,1,2e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
VAMP4 - METTL13,rs11578699,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,4e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
VN1R10P - ZNF204P,rs9461359,Parkinson's disease,6,2e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
VSTM2L,rs1998049,Levodopa wearing off effect (time symptoms uncontrolled) in Parkinson's disease (response to zonisamide),20,6e-06,"67 Japanese ancestry responders, 133 Japanese ancestry poor responders"
"WBP1L, CYP17A1",rs17115100,Parkinson's disease,10,7e-08,"1,713 European ancestry cases, 3,978 European ancestry controls"
WDHD1,rs8018800,Parkinson's disease,14,4e-16,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
WDR1,rs10939702,Parkinson disease axial motor severity,4,8e-07,"3,572 European ancestry individuals"
WDR41,rs137887044,Parkinson's disease,5,2e-08,"5,167 European ancestry cases, 5,366 European ancestry controls"
WNT3,rs199515,Parkinson's disease,17,3e-17,"4,238 European ancestry cases, 4,239 European ancestry controls"
WNT3,rs34724124,Parkinson's disease,17,7e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
WNT3,rs415430,Parkinson's disease,17,7e-07,"268 Ashkenazi Jewish cases, 178 Ashkenazi Jewish controls"
WNT3,rs199498,Parkinson's disease,17,8e-07,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
WNT3,rs199498,Parkinson's disease,17,2e-06,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
WNT3,rs11658976,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,4e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
WNT3,rs199501,Parkinson's disease,17,8e-12,"5,167 European ancestry cases, 5,366 European ancestry controls"
WNT9A - CICP26,rs849898,Parkinson's disease,1,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
WWOX,rs142789964,Parkinson's disease progression (cognitive),16,2e-06,"2,650 European and unknown ancestry individuals"
WWOX,rs8050111,Parkinson's disease progression (cognitive),16,2e-08,"2,650 European and unknown ancestry individuals"
XCL1 - DPT,rs79432789,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,1,2e-06,"2,784 European ancestry individuals"
Y_RNA - Y_RNA,rs6416935,Parkinson's disease,17,4e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
Y_RNA - Y_RNA,rs148534175,Parkinson's disease,17,1e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
ZDHHC2,rs4921739,Parkinson's disease,8,6e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
"ZNF165, ZSCAN16-AS1",rs17767294,Parkinson's disease,6,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
ZNF322 - GUSBP2,rs2451713,Parkinson's disease,6,5e-08,"1,050 East Asian ancestry cases, 5,000 East Asian ancestry controls"
ZNF474 - SNCAIP,rs5870994,Parkinson's disease progression (motor),5,1e-06,"2,848 individuals"
ZNF474 - SNCAIP,rs17367669,Parkinson's disease progression (composite),5,3e-06,"2,755 individuals"
ZNF608 - LINC02240,rs6875262,Parkinson's disease,5,3e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
ZNF608 - LINC02240,rs6875262,Parkinson's disease or first degree relation to individual with Parkinson's disease,5,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
"ZNF646, PRSS53",rs11865038,Parkinson's disease,16,4e-07,"4,238 European ancestry cases, 4,239 European ancestry controls"
ZP3,rs6465122,Parkinson disease and lewy body pathology,7,7e-07,"484 European ancestry cases, 1,145 European ancestry controls"
